tax_id,superkingdom,kingdom,phylum,class,subclass,order,family,genus,species
406817,Bacteria,,Proteobacteria,Gammaproteobacteria,,Enterobacteriales,Enterobacteriaceae,Xenorhabdus,Xenorhabdus nematophila
406818,Bacteria,,Proteobacteria,Gammaproteobacteria,,Enterobacteriales,Enterobacteriaceae,Xenorhabdus,Xenorhabdus bovienii
408672,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Propionibacteriales,Nocardioidaceae,,
410358,Archaea,,Euryarchaeota,Methanomicrobia,,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum
410359,Archaea,,Crenarchaeota,Thermoprotei,,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum calidifontis
411154,Bacteria,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,Flavobacteriaceae,Gramella,Gramella forsetii
411459,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus] obeum
411460,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus] torques
411461,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Dorea,Dorea formicigenerans
411462,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Dorea,Dorea longicatena
411463,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium ventriosum
411464,Bacteria,,Proteobacteria,Deltaproteobacteria,,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger
411465,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Peptoniphilaceae,Parvimonas,Parvimonas micra
411466,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus
411467,Bacteria,,Firmicutes,Clostridia,,Clostridiales,,Pseudoflavonifractor,Pseudoflavonifractor capillosus
411468,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens
411469,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium] hallii
411470,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus] gnavus
411471,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Ruminococcaceae,Subdoligranulum,Subdoligranulum variabile
411474,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus eutactus
411476,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus
411477,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides merdae
411483,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
411489,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Clostridiaceae,Clostridium,
411490,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae
411684,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Phyllobacteriaceae,Hoeflea,Hoeflea phototrophica
411901,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae
411902,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] bolteae
411903,Bacteria,,Actinobacteria,Coriobacteriia,,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens
412030,Eukaryota,,,Oligohymenophorea,,Peniculida,Parameciidae,Paramecium,Paramecium tetraurelia
412133,Eukaryota,,,,,Trichomonadida,Trichomonadidae,Trichomonas,Trichomonas vaginalis
412419,Bacteria,,Spirochaetes,Spirochaetia,,Spirochaetales,Borreliaceae,Borrelia,Borrelia duttonii
412597,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Paracoccus,
412965,Bacteria,,Proteobacteria,Gammaproteobacteria,,,,,Calyptogena okutanii thioautotrophic gill symbiont
413404,Bacteria,,Proteobacteria,Gammaproteobacteria,,,,Candidatus Ruthia,Candidatus Ruthia magnifica
414684,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum centenum
415426,Archaea,,Crenarchaeota,Thermoprotei,,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Hyperthermus butylicus
416269,Bacteria,,Proteobacteria,Gammaproteobacteria,,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae
416348,Archaea,,Euryarchaeota,Halobacteria,,Haloferacales,Haloferacaceae,Halorubrum,Halorubrum lacusprofundi
416591,Bacteria,,Thermotogae,Thermotogae,,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga lettingae
416870,Bacteria,,Firmicutes,Bacilli,,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
419610,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium extorquens
419665,Archaea,,Euryarchaeota,Methanococci,,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus aeolicus
419947,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
420245,Eukaryota,,,,,Kinetoplastida,Trypanosomatidae,Leishmania,Leishmania braziliensis
420246,Bacteria,,Firmicutes,Bacilli,,Bacillales,Bacillaceae,Geobacillus,Geobacillus thermodenitrificans
420247,Archaea,,Euryarchaeota,Methanobacteria,,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii
420336,Bacteria,,Firmicutes,Clostridia,,Clostridiales,,Epulopiscium,
420662,Bacteria,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Methylibium,Methylibium petroleiphilum
420890,Bacteria,,Firmicutes,Bacilli,,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae
423536,Eukaryota,,,,,Perkinsida,Perkinsidae,Perkinsus,Perkinsus marinus
425104,Bacteria,,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sediminis
425265,Eukaryota,Fungi,Basidiomycota,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa
426114,Bacteria,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Thiomonas,
426117,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylobacteriaceae,Methylobacterium,
426355,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium radiotolerans
426368,Archaea,,Euryarchaeota,Methanococci,,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis
426418,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Pyrenophora,Pyrenophora tritici-repentis
428125,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] leptum
428126,Bacteria,,Firmicutes,Erysipelotrichia,,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] spiroforme
428127,Bacteria,,Firmicutes,Erysipelotrichia,,Erysipelotrichales,Erysipelotrichaceae,,[Eubacterium] dolichum
429009,Bacteria,,Firmicutes,Clostridia,,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,Ammonifex degensii
430066,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Brucellaceae,Brucella,Brucella abortus
431895,Eukaryota,,,,,Choanoflagellida,Codonosigidae,Monosiga,Monosiga brevicollis
431943,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Clostridiaceae,Clostridium,Clostridium kluyveri
431947,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
434131,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rickettsiales,Anaplasmataceae,Neorickettsia,Neorickettsia risticii
435258,Eukaryota,,,,,Kinetoplastida,Trypanosomatidae,Leishmania,Leishmania infantum
435590,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus
435591,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides distasonis
435832,Bacteria,,Proteobacteria,Betaproteobacteria,,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa
435837,Bacteria,,Firmicutes,Bacilli,,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis
435838,Bacteria,,Firmicutes,Bacilli,,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus capitis
435842,Bacteria,,Firmicutes,Bacilli,,Lactobacillales,Streptococcaceae,Streptococcus,
436017,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus 'lucimarinus'
436114,Bacteria,,Aquificae,Aquificae,,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,
436308,Archaea,,Thaumarchaeota,,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus maritimus
436717,Bacteria,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans
436907,Eukaryota,Fungi,Ascomycota,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Vanderwaltozyma,Vanderwaltozyma polyspora
438753,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans
439235,Bacteria,,Proteobacteria,Deltaproteobacteria,,Desulfobacterales,Desulfobacteraceae,Desulfatibacillum,Desulfatibacillum alkenivorans
439292,Bacteria,,Firmicutes,Bacilli,,Bacillales,Sporolactobacillaceae,,[Bacillus] selenitireducens
439375,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Brucellaceae,Ochrobactrum,Ochrobactrum anthropi
439481,Archaea,,Euryarchaeota,,,,,Aciduliprofundum,Aciduliprofundum boonei
439483,Bacteria,,Proteobacteria,Epsilonproteobacteria,,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas gotlandica
439493,Bacteria,,Proteobacteria,Alphaproteobacteria,,,,Candidatus Pelagibacter,
439496,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhodobacterales,,,
439497,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Ruegeria,
440497,Bacteria,,Firmicutes,Bacilli,,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus jensenii
441375,Eukaryota,,Apicomplexa,Coccidia,,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,Cryptosporidium muris
441620,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium populi
441768,Bacteria,,Tenericutes,Mollicutes,,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma laidlawii
441769,Bacteria,,Firmicutes,Bacilli,,Bacillales,Bacillaceae,Bacillus,Bacillus coahuilensis
441959,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces stipitatus
441960,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces marneffei
443143,Bacteria,,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter,
443144,Bacteria,,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter,
443152,Bacteria,,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter algicola
443218,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Corynebacteriales,Mycobacteriaceae,Amycolicicoccus,Amycolicicoccus subflavus
443254,Bacteria,,Thermotogae,Thermotogae,,Petrotogales,,Marinitoga,Marinitoga piezophila
443255,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus
443906,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis
444157,Archaea,,Crenarchaeota,Thermoprotei,,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum neutrophilum
444158,Archaea,,Euryarchaeota,Methanococci,,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis
444177,Bacteria,,Firmicutes,Bacilli,,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sphaericus
444612,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rickettsiales,Rickettsiaceae,Rickettsia,
445335,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Clostridiaceae,Clostridium,Clostridium botulinum
445337,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Clostridiaceae,Clostridium,Clostridium botulinum
445932,Bacteria,,Elusimicrobia,Elusimicrobia,,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,Elusimicrobium minutum
445970,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis
445971,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Eubacteriaceae,Anaerofustis,Anaerofustis stercorihominis
445972,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus colihominis
445973,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Peptostreptococcaceae,Intestinibacter,Intestinibacter bartlettii
445974,Bacteria,,Firmicutes,Erysipelotrichia,,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium ramosum
445975,Bacteria,,Actinobacteria,Coriobacteriia,,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella stercoris
445987,Bacteria,,Spirochaetes,Spirochaetia,,Spirochaetales,Borreliaceae,Borrelia,Borrelia valaisiana
446462,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema mirum
446465,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium
446466,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas flavigena
446468,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis dassonvillei
446469,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter keddieii
446470,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Glycomycetales,Glycomycetaceae,Stackebrandtia,Stackebrandtia nassauensis
446471,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Micrococcales,Promicromonosporaceae,Xylanimonas,Xylanimonas cellulosilytica
448385,Bacteria,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum
449447,Bacteria,,Cyanobacteria,,Oscillatoriophycideae,Chroococcales,,Microcystis,Microcystis aeruginosa
449673,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris
450851,Bacteria,,Proteobacteria,Alphaproteobacteria,,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium zucineum
451757,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens
452471,Bacteria,,Bacteroidetes,Cytophagia,,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,Candidatus Amoebophilus asiaticus
452637,Bacteria,,Verrucomicrobia,Opitutae,,Opitutales,Opitutaceae,Opitutus,Opitutus terrae
452638,Bacteria,,Proteobacteria,Betaproteobacteria,,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter necessarius
452652,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora setae
452662,Bacteria,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium japonicum
452863,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter chlorophenolicus
453591,Archaea,,Crenarchaeota,Thermoprotei,,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus hospitalis
455436,Bacteria,,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Alteromonadaceae,Glaciecola,
455632,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus
456320,Archaea,,Euryarchaeota,Methanococci,,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus voltae
456442,Archaea,,Euryarchaeota,Methanomicrobia,,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula boonei
456481,Bacteria,,Spirochaetes,Spirochaetia,,,Leptospiraceae,Leptospira,Leptospira biflexa
457396,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Clostridiaceae,Clostridium,
457398,Bacteria,,Proteobacteria,Deltaproteobacteria,,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,
457405,Bacteria,,Fusobacteria,Fusobacteriia,,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum
457412,Bacteria,,Firmicutes,Clostridia,,Clostridiales,Ruminococcaceae,Ruminococcus,
457421,Bacteria,,Firmicutes,Clostridia,,Clostridiales,,,
457424,Bacteria,,Bacteroidetes,Bacteroidia,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
457425,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albus
457427,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces himastatinicus
457429,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces pristinaespiralis
457570,Bacteria,,Firmicutes,Clostridia,,Natranaerobiales,Natranaerobiaceae,Natranaerobius,Natranaerobius thermophilus
458233,Bacteria,,Firmicutes,Bacilli,,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus caseolyticus
458817,Bacteria,,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Shewanellaceae,Shewanella,Shewanella halifaxensis
460265,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium nodulans
463191,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sviceus
465515,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus
465541,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Streptomyces,
465817,Bacteria,,Proteobacteria,Gammaproteobacteria,,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia tasmaniensis
467200,Bacteria,,Actinobacteria,Actinobacteria,Actinobacteridae,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseoflavus
467661,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,,
467705,Bacteria,,Firmicutes,Bacilli,,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gordonii
469008,Bacteria,,Proteobacteria,Gammaproteobacteria,,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
469371,Bacteria,,Actinobacteria,Actinobacteria,,,,Thermobispora,Thermobispora bispora
469378,Bacteria,,Actinobacteria,Coriobacteriia,,Eggerthellales,Eggerthellaceae,Cryptobacterium,Cryptobacterium curtum
469381,Bacteria,,Synergistetes,Synergistia,,Synergistales,Synergistaceae,Dethiosulfovibrio,Dethiosulfovibrio peptidovorans
469382,Archaea,,Euryarchaeota,Halobacteria,,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum borinquense
469383,Bacteria,,Actinobacteria,Actinobacteria,Rubrobacteridae,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei
469595,Bacteria,,Proteobacteria,Gammaproteobacteria,,Enterobacteriales,Enterobacteriaceae,Citrobacter,
469596,Bacteria,,Firmicutes,Erysipelotrichia,,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,
469606,Bacteria,,Fusobacteria,Fusobacteriia,,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum
469610,Bacteria,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,
469613,Bacteria,,Proteobacteria,Gammaproteobacteria,,Enterobacteriales,Enterobacteriaceae,,
