sample,operons,ORFs,genes,has_phylum,has_COG,has_both,hit_sites,hit_operons,hit_ORFs,hit_genes,hit_has_phylum,hit_has_COG,hit_has_both
MH0001,15420,21452,4068,1028,2926,857,4484,2692,4027,1068,262,813,225
MH0002,52286,75001,17031,5712,11687,4801,17670,10626,15661,4678,1584,3235,1363
MH0003,81245,112517,23099,10441,17086,8900,25011,15031,21550,6418,3151,4860,2725
MH0004,25200,35007,8522,3460,6262,3086,8511,5044,7472,3001,1271,2254,1157
MH0005,16889,23163,4810,2063,3741,1815,5035,3017,4318,1408,606,1133,538
MH0006,157129,218389,54182,10071,38693,8698,45576,27739,39971,13906,2852,10187,2511
MH0007,32352,43754,3836,714,2255,529,7749,4827,6643,875,154,466,111
MH0008,33482,46606,6215,3434,4694,3072,9672,5849,8600,1278,578,922,526
MH0009,54038,73663,15878,2147,10139,1692,15997,9642,13386,4179,542,2726,445
MH0010,32161,44849,4983,2535,3762,2109,10807,6442,9380,1403,656,1105,555
MH0011,74891,102407,23580,4236,17009,3634,25554,15230,21157,7345,1212,5401,1084
MH0012,161351,233510,60790,7051,42688,6068,51010,30544,46129,15484,1970,11136,1745
MH0013,26923,38417,8259,1495,5192,1320,8479,5018,7521,2475,593,1612,532
MH0014,84343,116390,12196,4439,8298,3877,24218,14731,20674,3091,1145,2137,1015
MH0015,31501,41879,2727,593,1753,433,6894,4289,5661,338,83,203,62
MH0016,63167,85060,10661,3601,7666,3137,20726,12259,16622,3292,1138,2518,1021
MH0017,30746,42181,3082,964,1777,716,7673,4734,6685,598,137,342,99
MH0018,14756,19759,2542,724,1481,569,4828,2855,3997,701,186,436,157
MH0019,30865,42685,2361,899,1379,680,9040,5452,7812,522,196,318,158
MH0020,52079,71891,6901,3274,4858,2583,19375,11300,15910,2154,1027,1516,815
MH0021,49680,65856,5748,900,3249,618,16341,9544,12852,1921,225,1095,146
MH0022,19406,26084,2844,253,1688,167,5180,3146,4366,829,51,543,33
MH0023,23337,31730,3590,689,2008,529,6299,3859,5277,935,168,517,136
MH0024,28929,40258,4114,617,2315,439,10685,6196,9046,1408,180,865,149
MH0025,66093,86220,11188,3250,7133,2704,18784,11197,14570,2739,786,1829,678
MH0026,44156,62183,7378,1490,4639,1212,15478,9229,13438,2310,469,1529,400
MH0027,21878,28103,1046,335,546,242,4597,2835,3665,171,50,82,35
MH0028,66036,90516,8382,1013,4714,741,21981,13022,18306,2368,214,1363,168
MH0030,34272,48252,9439,925,5616,768,12953,7469,10985,3108,237,1934,207
MH0031,31713,42969,9940,1684,5840,1449,10019,6010,8528,2527,448,1522,405
MH0032,28956,37134,2331,326,1221,220,7979,4812,6089,564,72,309,48
MH0033,53774,73265,4626,630,2373,421,18238,10694,14953,1448,173,769,123
MH0034,7912,10507,1123,135,489,96,2946,1713,2265,271,24,118,15
MH0035,49522,69862,11643,1034,7502,748,18291,10743,15641,3695,307,2465,230
MH0036,40469,54887,4475,801,2566,523,12541,7490,10257,1169,191,709,133
MH0037,41095,56354,8627,2371,5643,2007,13287,7875,11169,2119,729,1442,645
MH0038,42957,58875,6957,1433,4389,1132,15815,8957,12737,2352,408,1544,326
MH0039,49450,65242,3913,1125,2108,888,15988,9335,12687,1033,305,571,247
MH0040,60987,83718,10030,1444,6021,1090,17975,10790,14793,1942,312,1150,228
MH0041,53365,74689,7438,2457,4936,2043,18821,11109,16163,2061,688,1373,598
MH0042,32913,42311,2295,324,887,191,9652,5788,7376,550,58,193,32
MH0043,53402,71890,6002,560,3167,355,18517,10812,14648,1794,133,1006,92
MH0044,55502,75501,6709,1267,4114,984,16661,10125,13780,1612,350,1012,282
MH0045,40549,56742,4028,985,2550,725,14486,8661,12484,1149,240,736,182
