gene_id,gene_name,gene_length,completeness,cohort_origin,phylum,genus,kegg,eggNOG,sample_freq,individual_freq,eggNOG_funccat,kegg_funccat,cohort_assembled
270154,V1.CD44-0_GL0080087,2373,Complete,EUR,unknown,unknown,unknown,COG1974,0.007892659826361479,0.00654205607476636,unknown,Transcription;Signal transduction mechanisms,EUR;USA
398848,MH0100_GL0069327,2073,Lack 5'-end,EUR,unknown,unknown,K01356,COG1974,0.0339384372533544,0.0299065420560748,Enzyme Families,Transcription;Signal transduction mechanisms,EUR
696061,MH0277_GL0027304,1692,Complete,EUR,Firmicutes,Clostridium,K01356,COG1974,0.0134175217048145,0.011214953271027998,Enzyme Families,Transcription;Signal transduction mechanisms,EUR
995105,MH0345_GL0181361,1467,Complete,EUR,unknown,unknown,K01356,COG1974,0.0173638516179953,0.0130841121495327,Enzyme Families,Transcription;Signal transduction mechanisms,EUR
1035720,T2D-77A_GL0066563,1446,Complete,CHN,unknown,unknown,K01356,COG1974,0.0449881610102605,0.0401869158878505,Enzyme Families,Transcription;Signal transduction mechanisms,CHN
1058506,T2D-83A_GL0023853,1434,Complete,CHN,unknown,unknown,K01356,COG1974,0.0228887134964483,0.0233644859813084,Enzyme Families,Transcription;Signal transduction mechanisms,EUR;CHN
1070421,457396.CSBG_01115,1428,Complete,SP,Firmicutes,Clostridium,K01356,COG1974,0.00631412786108919,0.00654205607476636,Enzyme Families,Transcription;Signal transduction mechanisms,
1075686,158337416-stool1_revised_C1267482_1_gene162183,1425,Complete,USA,unknown,unknown,K01356,COG1974,0.0142067876874507,0.0130841121495327,Enzyme Families,Transcription;Signal transduction mechanisms,USA
1096941,O2.UC11-2_GL0132196,1413,Complete,EUR,unknown,unknown,K01356,COG1974,0.13891081294396201,0.128971962616822,Enzyme Families,Transcription;Signal transduction mechanisms,EUR
1170645,SZEY-81A_GL0034245,1380,Lack 5'-end,CHN,unknown,unknown,K01356,COG1974,0.0228887134964483,0.0233644859813084,Enzyme Families,Transcription;Signal transduction mechanisms,CHN
1409407,T2D-178A_GL0020453,1284,Complete,CHN,Firmicutes,Coprobacillus,K01356,COG1974,0.9550118389897401,0.9551401869158879,Enzyme Families,Transcription;Signal transduction mechanisms,EUR;CHN;USA
1517070,NOM026_GL0042705,1245,Lack 3'-end,CHN,unknown,unknown,unknown,COG1974,0.0228887134964483,0.0205607476635514,unknown,Transcription;Signal transduction mechanisms,CHN
1570216,MH0025_GL0078590,1224,Complete,EUR,unknown,unknown,K01356,COG1974,0.0039463299131807395,0.004672897196261679,Enzyme Families,Transcription;Signal transduction mechanisms,EUR
1628975,O2.UC47-0_GL0136904,1206,Complete,EUR,unknown,unknown,K01356,COG1974,0.007892659826361479,0.00280373831775701,Enzyme Families,Transcription;Signal transduction mechanisms,EUR
